rule_id,need_id,logic_group,priority,if_column,operator,target_value,comparator_type,weight,threshold,aggregation,action,confidence_note,source_reference,implementation_note
R0003,N01,display,3,public_medical_usage_2,==,1,boolean,1,2,sum,flag,公費医療の利用 ②感染症医療費,,column_display_text連動
R0004,N01,display,4,public_system_usage_2,==,1,boolean,1,2,sum,flag,公費制度の利用 ②療育手帳,,column_display_text連動
R0005,N01,display,5,economic_status_1_2,==,1,boolean,1,2,sum,flag, 1. この1年で家計に困ったことは？ 年２~３回,,column_display_text連動
R0006,N01,display,6,economic_status_1_3,==,1,boolean,1,2,sum,flag, 1. この1年で家計に困ったことは？ 年４~５回,,column_display_text連動
R0007,N01,display,7,economic_status_1_4,==,1,boolean,1,2,sum,flag, 1. この1年で家計に困ったことは？ 年６回以上,,column_display_text連動
R0008,N01,display,8,economic_status_2_2,==,1,boolean,1,2,sum,flag, 2. 給与日前に困ったことは？ 年２~３回,,column_display_text連動
R0009,N01,display,9,economic_status_2_3,==,1,boolean,1,2,sum,flag, 2. 給与日前に困ったことは？ 年４~５回,,column_display_text連動
R0010,N01,display,10,economic_status_2_4,==,1,boolean,1,2,sum,flag,2. 給与日前に困ったことは？ 年６回以上,,column_display_text連動
R0011,N02,display,1,room_cleanliness_1b,==,1,boolean,1,2,sum,flag,居室の清潔　掃除はされず、ごみが散らかっている,,column_display_text連動
R0012,N02,display,2,room_cleanliness_2a,==,1,boolean,1,2,sum,flag,居室の清潔　室内は汚く、ごみや排泄物で不衛生な状態,,column_display_text連動
R0013,N02,display,3,room_safety_level_1,==,1,boolean,1,2,sum,flag,住居環境の状況　住居が機能的・安全でない個所の改修を希望、家族人数には見合った広さである,,column_display_text連動
R0014,N02,display,4,room_safety_level_2,==,1,boolean,1,2,sum,flag,住居環境の状況　住居が機能的でなく障害物状態だが改修-整理を希望しない、家族人数に見合った広さでない,,column_display_text連動
R0015,N02,display,5,reform_need_1,==,1,boolean,1,2,sum,flag,住環境の改修 必要あり,,column_display_text連動
R0015a,N02,display,6,reform_place_room,==,1,boolean,1,2,sum,flag,住環境改修　居室,,column_display_text連動
R0015b,N02,display,7,reform_place_bathroom,==,1,boolean,1,2,sum,flag,住環境改修　浴室,,column_display_text連動
R0015c,N02,display,8,reform_place_datsuishitsu,==,1,boolean,1,2,sum,flag,住環境改修　脱衣室,,column_display_text連動
R0015d,N02,display,9,reform_place_bathtub,==,1,boolean,1,2,sum,flag,住環境改修　浴槽,,column_display_text連動
R0015e,N02,display,10,reform_place_toilet,==,1,boolean,1,2,sum,flag,住環境改修　トイレ,,column_display_text連動
R0015f,N02,display,11,reform_place_benki,==,1,boolean,1,2,sum,flag,住環境改修　便器,,column_display_text連動
R0015g,N02,display,12,reform_place_hallway,==,1,boolean,1,2,sum,flag,住環境改修　廊下,,column_display_text連動
R0015h,N02,display,13,reform_place_entrance,==,1,boolean,1,2,sum,flag,住環境改修　玄関,,column_display_text連動
R0015i,N02,display,14,reform_place_garden,==,1,boolean,1,2,sum,flag,住環境改修　庭,,column_display_text連動
R0015j,N02,display,15,reform_place_stairs,==,1,boolean,1,2,sum,flag,住環境改修　階段,,column_display_text連動
R0015k,N02,display,16,reform_place_other,==,1,boolean,1,2,sum,flag,住環境改修　その他,,column_display_text連動
R0016,N02,display,17,care_tool_need_1,==,1,boolean,1,2,sum,flag,介護用具の必要 必要あり,,column_display_text連動
R0016a,N02,display,18,care_tool_type_move,==,1,boolean,1,2,sum,flag,介護用具　移動用具,,column_display_text連動
R0016b,N02,display,19,care_tool_type_life,==,1,boolean,1,2,sum,flag,介護用具　生活用具,,column_display_text連動
R0016c,N02,display,20,care_tool_type_assist,==,1,boolean,1,2,sum,flag,介護用具　介助用具,,column_display_text連動
R0017,N02,display,21,equipment_need_1,==,1,boolean,1,2,sum,flag,生活設備の改修 必要あり,,column_display_text連動
R0017a,N02,display,22,equipment_type_life_tool,==,1,boolean,1,2,sum,flag,生活設備　障害者用生活用具,,column_display_text連動
R0017b,N02,display,23,equipment_type_electric,==,1,boolean,1,2,sum,flag,生活設備　電気,,column_display_text連動
R0017c,N02,display,24,equipment_type_aircon,==,1,boolean,1,2,sum,flag,生活設備　冷暖房機,,column_display_text連動
R0017d,N02,display,25,equipment_type_elevator,==,1,boolean,1,2,sum,flag,生活設備　エレベータ,,column_display_text連動
R0017e,N02,display,26,equipment_type_other_flag,==,1,boolean,1,2,sum,flag,生活設備　その他,,column_display_text連動
R0017f,N02,display,27,equipment_type_other,!=,"",text,1,2,sum,flag,生活設備　その他（詳細）,,column_display_text連動
R0018,N02,display,28,social_service_usage_2,==,1,boolean,1,2,sum,flag,介護保険サービス利用の判断　介護・社会的サービスの制度や内容を知らない、導入の理解や判断には支援が必要,,column_display_text連動
R0019,N02,display,29,social_service_usage_3,==,1,boolean,1,2,sum,flag,介護保険サービス利用の判断　介護・社会的サービスの制度や内容を知っていて使っていない、拒否している,,column_display_text連動
R0020,N03,display,1,care_burden_feeling_2,==,1,boolean,1,2,sum,flag,介護をしていて不安やイライラ・疲れ・怒りの気持ちがありますか　軽く思う,,column_display_text連動
